County,new infections,Lat location 1,Long location 1
Narok,308.8,-0.982,36.5864
Kajiado,393.8,-2.5521,36.7839
Uasin Gishu,520.2,0.2154,35.4316
Nakuru,800.9,-0.2048,35.8479
Makueni,1570.9,-2.0797,37.4731
Machakos,1744.2,-1.3922,36.9407
Mombasa,2426,-4.0525,39.6663
Nairobi,4719,-1.286377,36.826048
