Kenya,KEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,102.3,107.9,76.1,70.1,65.8,62.1,58.5,55.6,53.4,51.3,49.4,..,"Estimates Developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org. Projected data are from the United Nations Population Division's World Population Prospects; and may in some cases not be consistent with data before the current year."
Kenya,KEN,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,17.5,..,..,16.3999996185303,..,..,..,..,11,..,..,"World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries. Adjusted, comparable data are available at http://www.who.int/nutgrowthdb/en. Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology."
Kenya,KEN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,78,78,80,90,88,86,87,93,73,79,75,..,WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/).
Kenya,KEN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,103.508369445801,..,..,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
Kenya,KEN,"Gross enrollment ratio, primary, both sexes (%)",SE.PRM.ENRR,100.427436828613,95.688102722168,112.629638671875,112.302398681641,113.267997741699,..,..,116.131248474121,..,111.395858764648,..,..,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
Kenya,KEN,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,..,39.3118286132813,52.6734199523926,59.4062118530273,60.4318199157715,..,..,67.6403884887695,..,..,..,..,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
Kenya,KEN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,0.975610017776489,0.952000021934509,0.959209978580475,0.954500019550323,..,..,0.980310022830963,..,..,..,..,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
Kenya,KEN,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,6.4,10.7,6.4,6.2,6.1,6.1,6,6,6,6,5.9,..,UNAIDS estimates.
Kenya,KEN,Forest area (sq. km),AG.LND.FRST.K2,47240,35570,41202,41568,41934,42300,42666,43032,43398,43764,44130,..,"Food and Agriculture Organization, electronic files and web site."
Kenya,KEN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,9.67,10.04,..,..,..,..,..,..,..,10.57,..,..,"United Nations Environmental Program and the World Conservation Monitoring Centre, as compiled by the World Resources Institute, based on data from national authorities, national legislation and international agreements."
Kenya,KEN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,11.207729468599,..,..,..,..,15.5458937198068,..,15.5458937198068,..,..,"Food and Agriculture Organization, AQUASTAT data."
Kenya,KEN,Improved water source (% of population with access),SH.H2O.SAFE.ZS,42.8,51.8,57.7,58.5,59.3,60,60.8,61.6,62.3,63.1,63.2,..,WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).
Kenya,KEN,Improved sanitation facilities (% of population with access),SH.STA.ACSN,24.6,26.9,28.5,28.7,29,29.2,29.4,29.6,29.9,30.1,30.1,..,WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).
Kenya,KEN,Urban population growth (annual %),SP.URB.GROW,4.95728046555312,4.22619828352605,4.31016275700918,4.31389533075236,4.31209753574627,4.31911774963582,4.33696347388305,4.3427113106515,4.33543621263156,4.31292686705993,4.28343104589787,..,"World Bank Staff estimates based on United Nations, World Urbanization Prospects."
Kenya,KEN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,454.412008003505,450.668612642448,462.220252377549,465.766319717778,479.250643010128,487.653847558662,485.509134075813,477.564076496949,491.745348630135,..,..,..,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
Kenya,KEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.248363862691949,0.335350781019139,0.263921731067523,0.267801815489948,0.31450114015823,0.3018831955604,0.32491320487705,0.29418417770378,0.304402197694402,..,..,..,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
Kenya,KEN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,124.966791034925,107.417090551609,144.883805711273,144.491583901263,145.607378336861,154.085294864677,155.021900796896,156.806136138378,167.716109175772,..,..,..,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/"
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,8572359162.86876,12705357103.0056,31958195182.2406,35895153327.8497,37021512048.8158,39999659233.7555,41953433591.4101,50410164013.5527,55100780396.387,61395415492.333,63398041540.367,..,"World Bank national accounts data, and OECD National Accounts data files."
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.19205097421582,0.599695391613636,6.85072977063138,0.232282745665941,3.30693981534758,8.40227706370248,6.11161346041284,4.55494279644424,5.69353035234217,5.33185940382775,5.64919707770292,..,"World Bank national accounts data, and OECD National Accounts data files."
Kenya,KEN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,10.6371987339057,6.07984848838849,8.12948559548259,15.1511749632827,11.6373036795758,2.09380334329477,10.7916134141978,9.38280668213014,5.36613906580024,7.99368072416327,9.14268685289316,..,"World Bank national accounts data, and OECD National Accounts data files."
Kenya,KEN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,29.5185788995874,32.3639742094123,23.2675342742105,24.9225054907488,26.1439382333539,27.8311869835427,29.2738701002032,29.0893725307488,29.481048759045,30.2466670497644,32.9388622097393,..,"World Bank national accounts data, and OECD National Accounts data files."
Kenya,KEN,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,19.0373572591961,16.9200086620609,21.8157661368279,20.8651168217009,20.9832217702728,20.792689914113,21.0411541710325,20.7084909858619,19.9183358789183,19.3314602590835,19.5244681714413,..,"World Bank national accounts data, and OECD National Accounts data files."
Kenya,KEN,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,51.4440638412165,50.7160171285268,54.9166995889616,54.2123776875503,52.8728399963733,51.3761231023443,49.6849757287643,50.2020842517398,50.6006624008715,50.4218932142447,47.5366872611667,..,"World Bank national accounts data, and OECD National Accounts data files."
Kenya,KEN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,25.6926059649364,21.5875711417625,21.9189912933699,22.6740575532267,20.0326292529074,20.6572048536886,21.6259724449116,19.8168288333363,18.1490479595249,16.9244463710768,15.7690201207544,..,"World Bank national accounts data, and OECD National Accounts data files."
Kenya,KEN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,31.3283077167904,31.7214732444649,31.975797511236,34.9045410940864,30.8310123169843,33.5702415138228,38.8227008753279,35.4052696090798,33.1311813301151,34.2004660968281,29.0377546703931,..,"World Bank national accounts data, and OECD National Accounts data files."
Kenya,KEN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,24.1640928963226,17.4140906154511,20.4569783889085,19.6127114227698,19.3326228276265,20.7348875982433,21.7027588905607,21.5412690139354,20.1653629938136,22.4943960933824,21.205619396922,..,"World Bank national accounts data, and OECD National Accounts data files."
Kenya,KEN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,19.6596022637822,15.968267654388,16.4727037853727,16.2472453900704,16.3511649139353,16.5628877692692,17.5733418568915,16.5389943901924,..,..,..,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates."
Kenya,KEN,Time required to start a business (days),IC.REG.DURS,..,..,44,31,31,31,33,32,32,30,26,22,"World Bank, Doing Business project (http://www.doingbusiness.org/)."
Kenya,KEN,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,35.8166174640795,35.7460691447274,31.0930454476429,33.9025229302558,35.5769634327343,41.0809089397028,41.6782172967907,42.2391735584838,42.9357667805453,44.2516059276272,45.2030322676342,..,"International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates."
Kenya,KEN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,16.8311439614109,15.1619017555961,15.9636059614395,15.5452313787675,15.7333443073725,15.9476859890905,15.8783712566722,15.4797480275271,..,..,..,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates."
Kenya,KEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.87501716228704,1.30326707000114,1.54791249583401,1.61585029427424,1.56144803484178,1.55513786793997,1.54141878592068,1.66647462152831,1.56179438825365,1.33404470528083,1.50522085049906,..,"Stockholm International Peace Research Institute (SIPRI), Yearbook: Armaments, Disarmament and International Security."
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0.40723604405299,30.0628327214148,42.0484783888656,48.624452833759,61.0349130809079,66.8146088986478,71.1743333275974,71.7640455221641,73.8432480759004,80.6782027369922,..,"International Telecommunication Union, World Telecommunication/ICT Development Report and database."
Kenya,KEN,Internet users (per 100 people),IT.NET.USER.P2,0,0.318059713612037,7.95,8.67,10.04,14,28,32.1,39,43.4,45.6228006060586,..,"International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates."
Kenya,KEN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,4.03288514968958,3.87952651852719,5.50938514134367,4.15033990258607,5.31063616601689,5.69921615384066,..,..,3.75860415020569,..,..,..,"United Nations, Comtrade database."
Kenya,KEN,Overall level of statistical capacity (scale 0 - 100),IQ.SCI.OVRL,..,..,62.2222222222222,64.4444444444444,62.2222222222222,62.2222222222222,61.1111111111111,57.7777777777778,52.2222222222222,54.4444444444444,54.4444333333333,55.5555333333333,"World Bank, Bulletin Board on Statistical Capacity (http://bbsc.worldbank.org)."
Kenya,KEN,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,37.9592121395791,38.086296676032,40.8973720996082,44.932990960332,39.6133036939778,43.1554626481234,48.9542481791172,44.4690181804869,40.3149444349005,39.9235819212934,34.7004977842927,..,"World Trade Organization, and World Bank GDP estimates."
Kenya,KEN,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,70.1492537313,100,86.3189843731,85.8818085142,96.415514805,95.030593268,91.8977676945,91.7455200561,87.6254599429,88.1920694708,102.271101789,..,"United Nations Conference on Trade and Development, Handbook of Statistics and data files, and International Monetary Fund, International Financial Statistics."
Kenya,KEN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,7055159000,6148248000,7538434000,7659361000,8549248000,8847568000,10162730000,11893745000,13721052000,16683175000,19147781000,..,"World Bank, International Debt Statistics."
Kenya,KEN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,35.4121264940597,21.0196986382277,6.32383943420652,4.88010112846024,5.1362131145054,4.40062499276187,4.31941140831618,5.25668994875864,5.85115390697067,10.9257195455935,6.75257677566819,..,"World Bank, International Debt Statistics."
Kenya,KEN,Net migration,SM.POP.NETM,..,..,-189330,..,..,..,..,-50000,..,..,..,..,"United Nations Population Division, World Population Prospects."
Kenya,KEN,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,139259994.5,537900024.4,645207871.37258,667317334.023689,631460883.164752,685757272.443359,934149157.124161,1211021406.17024,1304277242.32361,1440846022.34359,1560421047.05203,..,World Bank staff estimates based on IMF balance of payments data.
Kenya,KEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,57081096.1781559,110904550.399762,729044146.04372,95585680.233444,116257608.986359,178064606.752108,139862091.096042,163410210.303025,371846696.367752,944327305.005736,1437000004.3704,..,"International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources."
Kenya,KEN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1181290000,512720000,1326780000,1365960000,1776200000,1624650000,2480600000,2653030000,3311620000,2665120000,..,..,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,
Last Updated: 02/01/2017,,,,,,,,,,,,,,,,
