"Data Source","World Development Indicators",

"Last Updated Date","2017-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Afghanistan","AFG","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","16592884.02","8423441.84","26054905.27","40629184.84","15693446.0735198","5646859.74000949","90854.710700163","241598.211833949","15597.28","",
"Angola","AGO","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.10256","","","","","","",
"Angola","AGO","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.41019","","","","","","",
"Angola","AGO","Trademark applications, total","IP.TMK.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1976","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1883","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","8.8","15.5","2.4","7.2","8.9","13.6","10.9","10.7","14","15.7","17.8","21.8","22.6","","","","",
"Angola","AGO","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","14100000","18300000","7421000","16587000","5960000","9480000","2790000","15750000","4420000","0","0","226800000","49430571.11","1339588441.64","12021694.12","12000000","","","","16332320.86","18843635.45","21944072.217","17490960","10997630","",
"Angola","AGO","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","290000","1170000","1660000","5630000","430000","0","0","2495000","3378446.38","1366548.48","1173129.46","470000","20000","6378100","3185000","224315044.600047","212220137.27","252852819.11","264702200","212229720","",
"Albania","ALB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.179503227852738","0.339874041348881","0.761716062589341","1.74455386513131","0.697374879419064","0.724100711307847","0.699557264166718","0.959974650011442","0.991776724901072","4.22269969691477","6.1674149347664","1.31430513179235","3.46961564193234","0.764653339194069","0.893509248780069","0.530148790877421","0.443274093451163","0.513330673282242","0.120347981733419","1.48734647699569","0.647750656841347","",
"Albania","ALB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","247748","302707","1070147","5144499","1489031","1858694","1950417","3614505","4872125","3607944","3968947","9945986","6296633","5832068","8585833","6202700","4819147","6256686","917486","15123662","8424644","",
"Albania","ALB","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.43091","","","","","","","","","",
"Albania","ALB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157.34364","","","","","","","","","",
"Albania","ALB","Trademark applications, total","IP.TMK.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","1063","2663","2839","2832","2557","2735","2820","2414","2413","2668","3702","3885","4163","4596","4023","3848","3834","2700","3308","3326","","","",
"Albania","ALB","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","26","36","27","17","32","54","106","132","128","147","186","148","216","213","286","274","","377","420","509","","",
"Albania","ALB","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","1254","2068","2380","2337","2299","2502","2470","2118","2212","2582","3062","3274","3524","3808","3243","3079","3122","2183","2564","2587","2518","","",
"Albania","ALB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","10","14","","",
"Albania","ALB","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","120","238","391","","386","","","","361","","8","","4","3","5","","",
"Albania","ALB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.8","19.1","28.4","21.4","21.9","24.5","31.8","40.5","51.5","77","136.7","160.9","186.5","183.6","","","","",
"Albania","ALB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08735","0.15421","","","","","","","","","",
"Albania","ALB","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","5321983.91","15410498.39","505314.458021101","720000","7530000","39150000","17120000","750000","13320000","1670000","1180000","760000","1920000","2700000","",
"Albania","ALB","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","8358857.12","4942627.61","4204267.36202606","6770000","11850000","12440000","14440000","12240000","12670000","23380000","22610000","21800000","24550000","23010000","",
